Team,Confederation,Ranking,Rating,Home
Afghanistan,AFC,161,19,15
Albania,UEFA,63,56,40
Algeria,CAF,34,67,49
AmericanSamoa,OFC,183,2,3
Andorra,UEFA,171,21,11
Angola,CAF,88,47,55
Anguilla,CONCACAF,208,4,4
Antigua&Barbuda,CONCACAF,164,15,17
Argentina,CONMEBOL,2,91,42
Armenia,UEFA,105,42,38
Aruba,CONCACAF,190,18,15
Australia,AFC,26,66,27
Austria,UEFA,24,69,23
Azerbaijan,UEFA,126,39,39
Bahamas,CONCACAF,205,3,4
Bahrain,AFC,89,43,21
Bangladesh,AFC,179,19,14
Barbados,CONCACAF,177,18,16
Belarus,UEFA,98,41,31
Belgium,UEFA,8,80,21
Belize,CONCACAF,180,9,8
Benin,CAF,91,44,51
Bermuda,CONCACAF,168,24,20
Bhutan,AFC,191,6,5
Bolivia,CONMEBOL,76,49,148
Bosnia,UEFA,71,59,40
Botswana,CAF,137,40,49
Brazil,CONMEBOL,5,88,47
BritishVirginIslands,CONCACAF,207,4,5
Brunei,AFC,187,9,7
Bulgaria,UEFA,87,43,38
BurkinaFaso,CAF,62,57,53
Burundi,CAF,144,39,46
Cambodia,AFC,178,11,10
Cameroon,CAF,57,65,55
Canada,CONCACAF,27,61,37
CapeVerde,CAF,67,49,53
CaymanIslands,CONCACAF,194,7,5
CentralAfricanRepublic,CAF,138,34,45
Chad,CAF,176,32,45
Chile,CONMEBOL,52,54,46
China,AFC,92,44,22
ChineseTaipei,AFC,173,13,9
Colombia,CONMEBOL,13,75,54
Comoros,CAF,108,43,44
Congo,CAF,133,40,45
CookIslands,OFC,185,2,5
CostaRica,CONCACAF,49,52,48
Croatia,UEFA,10,76,36
Cuba,CONCACAF,165,32,30
Curacao,CONCACAF,81,44,49
Cyprus,UEFA,127,42,37
CzechRepublic,UEFA,44,63,30
Denmark,UEFA,21,71,26
Djibouti,CAF,195,19,25
Dominica,CONCACAF,182,17,15
DominicanRepublic,CONCACAF,142,31,29
DRCongo,CAF,56,61,56
Ecuador,CONMEBOL,23,74,54
Egypt,CAF,35,67,51
ElSalvador,CONCACAF,99,40,44
England,UEFA,4,89,19
EquatorialGuinea,CAF,96,44,41
Eritrea,CAF,210,25,25
Estonia,UEFA,129,40,27
Eswatini,CAF,158,33,42
Ethiopia,CAF,146,35,47
FaroeIslands,UEFA,124,33,36
Fiji,OFC,154,13,21
Finland,UEFA,75,51,26
France,UEFA,3,90,21
Gabon,CAF,77,55,52
Gambia,CAF,115,42,46
Georgia,UEFA,73,46,39
Germany,UEFA,9,87,22
Ghana,CAF,72,64,51
Gibraltar,UEFA,201,16,10
Greece,UEFA,46,56,40
Grenada,CONCACAF,163,22,20
Guam,AFC,200,7,5
Guatemala,CONCACAF,93,43,45
Guinea,CAF,80,52,49
GuineaBissau,CAF,132,41,46
Guyana,CONCACAF,150,32,36
Haiti,CONCACAF,83,45,30
Honduras,CONCACAF,65,49,48
HongKong,AFC,152,23,11
Hungary,UEFA,40,62,35
Iceland,UEFA,74,51,32
India,AFC,141,23,21
Indonesia,AFC,121,41,38
Iraq,AFC,58,53,42
Iran,AFC,20,69,39
Ireland,UEFA,59,57,25
Italy,UEFA,12,82,23
IvoryCoast,CAF,42,70,52
Jamaica,CONCACAF,70,50,49
Japan,AFC,18,72,23
Jordan,AFC,64,54,39
Kazakhstan,UEFA,113,41,42
Kenya,CAF,112,40,48
Kosovo,UEFA,79,48,40
Kuwait,AFC,134,38,24
Kyrgyzstan,AFC,103,38,38
Laos,AFC,189,11,7
Latvia,UEFA,139,39,33
Lebanon,AFC,107,36,33
Lesotho,CAF,143,35,46
Liberia,CAF,140,37,45
Libya,CAF,110,42,47
Liechtenstein,UEFA,204,16,10
Lithuania,UEFA,145,41,31
Luxembourg,UEFA,102,37,22
Macau,AFC,192,5,5
Madagascar,CAF,104,43,47
Malawi,CAF,125,40,48
Malaysia,AFC,120,34,30
Maldives,AFC,172,12,8
Mali,CAF,53,59,52
Malta,UEFA,160,22,25
Mauritania,CAF,114,42,48
Mauritius,CAF,175,26,26
Mexico,CONCACAF,15,68,42
Moldova,UEFA,157,30,32
Mongolia,AFC,184,10,8
Montenegro,UEFA,82,44,38
Montserrat,CONCACAF,174,10,8
Morocco,CAF,11,73,49
Mozambique,CAF,101,46,53
Myanmar,AFC,162,17,14
Namibia,CAF,117,42,48
Nepal,AFC,181,14,8
Netherlands,UEFA,7,85,21
NewCaledonia,OFC,149,21,22
NewZealand,OFC,86,54,31
Nicaragua,CONCACAF,131,34,40
Niger,CAF,109,38,48
Nigeria,CAF,38,68,51
NorthKorea,AFC,118,38,24
NorthMacedonia,UEFA,66,48,40
NorthernIreland,UEFA,69,50,25
Norway,UEFA,29,69,25
Oman,AFC,78,47,29
Pakistan,AFC,198,16,14
Palestine,AFC,94,45,24
Panama,CONCACAF,30,53,47
PapuaNewGuinea,OFC,169,12,15
Paraguay,CONMEBOL,39,64,49
Peru,CONMEBOL,51,55,56
Philippines,AFC,135,33,24
Poland,UEFA,31,68,34
Portugal,UEFA,6,86,24
PuertoRico,CONCACAF,155,28,27
Qatar,AFC,54,55,27
Romania,UEFA,47,60,39
Russia,NA,33,66,38
Rwanda,CAF,130,39,47
Samoa,OFC,186,3,5
SaoTome&Principe,CAF,188,15,11
SanMarino,UEFA,209,15,10
SaudiArabia,AFC,60,58,25
Scotland,UEFA,36,62,26
Senegal,CAF,19,72,53
Serbia,UEFA,37,68,39
Seychelles,CAF,202,14,11
SierraLeone,CAF,119,41,48
Singapore,AFC,147,24,10
Slovakia,UEFA,45,63,32
Slovenia,UEFA,55,56,33
SolomonIslands,OFC,151,15,23
Somalia,CAF,199,27,25
SouthAfrica,CAF,61,62,51
SouthKorea,AFC,22,67,22
SouthSudan,CAF,167,30,36
Spain,UEFA,1,92,25
SriLanka,AFC,193,14,10
StKitts&Nevis,CONCACAF,153,16,17
StLucia,CONCACAF,166,17,15
StVincent&Grenadines,CONCACAF,170,20,17
Sudan,CAF,116,43,51
Suriname,CONCACAF,122,41,40
Sweden,UEFA,43,67,22
Switzerland,UEFA,17,73,23
Syria,AFC,85,42,37
Tahiti,OFC,156,16,18
Tajikistan,AFC,100,39,37
Tanzania,CAF,111,44,50
Thailand,AFC,95,35,30
TimorLeste,AFC,197,8,5
Togo,CAF,123,39,45
Tonga,OFC,196,3,4
Trinidad&Tobago,CONCACAF,97,38,45
Tunisia,CAF,41,65,46
Turkmenistan,AFC,136,27,26
Turks&CaicosIslands,CONCACAF,203,3,4
Turkey,UEFA,25,70,40
Uganda,CAF,84,46,51
Ukraine,UEFA,28,66,20
UAE,AFC,68,52,27
USA,CONCACAF,14,69,26
USVirginIslands,CONCACAF,206,3,4
Uruguay,CONMEBOL,16,77,41
Uzbekistan,AFC,50,58,37
Vanuatu,OFC,159,9,12
Venezuela,CONMEBOL,48,57,59
Vietnam,AFC,106,37,31
Wales,UEFA,32,60,23
Yemen,AFC,148,24,15
Zambia,CAF,90,45,51
Zimbabwe,CAF,128,43,49
