Team,Confederation,Rating,Home,Ranking
Italy,UEFA,82,22,9
Norway,UEFA,67,25,29
Estonia,UEFA,41,27,104
Moldova,UEFA,31,33,145
Kosovo,UEFA,50,40,80
Spain,UEFA,93,25,2
Kazakhstan,UEFA,41,41,115
Albania,UEFA,55,40,50
Scotland,UEFA,62,28,34
Czechia,UEFA,63,29,37
England,UEFA,89,18,4
Andorra,UEFA,21,12,168
Montenegro,UEFA,44,37,89
Romania,UEFA,59,38,46
Croatia,UEFA,76,35,11
Cyprus,UEFA,42,35,108
Azerbaijan,UEFA,39,40,125
NorthernIreland,UEFA,50,26,62
Ukraine,UEFA,68,20,39
Netherlands,UEFA,86,20,7
FaroeIslands,UEFA,32,37,119
Slovenia,UEFA,57,33,59
Bulgaria,UEFA,43,37,93
Poland,UEFA,69,34,27
Liechtenstein,UEFA,16,12,203
Iceland,UEFA,51,30,65
Wales,UEFA,61,23,40
Ireland,UEFA,57,25,66
Belgium,UEFA,81,20,8
Germany,UEFA,88,24,10
Denmark,UEFA,72,25,20
Luxembourg,UEFA,37,23,97
Switzerland,UEFA,74,23,14
Austria,UEFA,67,23,25
France,UEFA,91,20,3
Portugal,UEFA,86,22,5
Gibraltar,UEFA,16,11,199
Slovakia,UEFA,63,32,44
Hungary,UEFA,62,34,42
Sweden,UEFA,68,22,41
Finland,UEFA,51,25,68
Lithuania,UEFA,41,28,98
Latvia,UEFA,39,30,123
Belarus,UEFA,40,28,103
Serbia,UEFA,68,39,36
Bosnia,UEFA,58,40,64
NorthMacedonia,UEFA,49,39,71
Greece,UEFA,55,39,48
Malta,UEFA,20,25,172
Turkey,UEFA,70,41,26
Georgia,UEFA,47,38,76
Armenia,UEFA,41,37,101
SanMarino,UEFA,15,13,210
Russia,NA,66,39,43
Colombia,CONMEBOL,75,55,15
Venezuela,CONMEBOL,58,66,51
Ecuador,CONMEBOL,74,52,21
Peru,CONMEBOL,56,61,55
Bolivia,CONMEBOL,49,148,72
Brazil,CONMEBOL,89,49,6
Chile,CONMEBOL,56,54,58
Argentina,CONMEBOL,94,43,1
Paraguay,CONMEBOL,65,49,33
Uruguay,CONMEBOL,78,42,13
Canada,CONCACAF,60,37,28
USA,CONCACAF,67,27,16
Mexico,CONCACAF,66,43,18
Belize,CONCACAF,10,10,189
Guatemala,CONCACAF,44,46,95
Honduras,CONCACAF,49,47,73
ElSalvador,CONCACAF,40,45,92
Nicaragua,CONCACAF,36,47,129
CostaRica,CONCACAF,52,46,53
Panama,CONCACAF,53,48,31
Cuba,CONCACAF,33,40,147
PuertoRico,CONCACAF,30,37,155
CaymanIslands,CONCACAF,7,10,195
Jamaica,CONCACAF,51,49,70
Haiti,CONCACAF,45,34,82
DominicanRepublic,CONCACAF,32,38,150
Bermuda,CONCACAF,26,26,163
Bahamas,CONCACAF,3,5,205
Turks&CaicosIslands,CONCACAF,4,5,206
USVirginIslands,CONCACAF,3,5,209
BritishVirginIslands,CONCACAF,4,5,207
Anguilla,CONCACAF,3,5,208
StKitts&Nevis,CONCACAF,16,18,152
Antigua&Barbuda,CONCACAF,15,20,161
Montserrat,CONCACAF,11,12,190
Dominica,CONCACAF,17,18,181
StLucia,CONCACAF,18,22,177
StVincent&Grenadines,CONCACAF,22,23,175
Barbados,CONCACAF,19,21,179
Grenada,CONCACAF,25,23,171
Aruba,CONCACAF,18,21,170
Curacao,CONCACAF,46,48,79
Trinidad&Tobago,CONCACAF,40,48,107
Guyana,CONCACAF,33,37,142
Suriname,CONCACAF,41,41,124
NewZealand,OFC,54,33,83
PapuaNewGuinea,OFC,14,30,174
AmericanSamoa,OFC,2,5,197
Samoa,OFC,4,12,185
CookIslands,OFC,3,5,191
Fiji,OFC,16,29,164
SolomonIslands,OFC,16,31,167
NewCaledonia,OFC,22,35,153
Tahiti,OFC,18,32,158
Tonga,OFC,3,10,187
Vanuatu,OFC,11,21,180
Morocco,CAF,74,50,12
Algeria,CAF,68,49,32
Tunisia,CAF,65,46,30
Libya,CAF,43,47,128
Egypt,CAF,67,51,35
Mauritania,CAF,42,49,117
Mali,CAF,62,51,52
Niger,CAF,39,50,136
Chad,CAF,35,51,162
Sudan,CAF,45,54,113
Eritrea,CAF,26,31,204
Djibouti,CAF,20,36,194
Ethiopia,CAF,36,49,154
SouthSudan,CAF,32,41,166
CentralAfricanRepublic,CAF,35,49,138
CapeVerde,CAF,50,52,77
Senegal,CAF,72,53,19
Gambia,CAF,43,50,121
GuineaBissau,CAF,42,49,110
Guinea,CAF,53,46,84
BurkinaFaso,CAF,58,52,69
SierraLeone,CAF,41,48,131
Liberia,CAF,38,46,143
IvoryCoast,CAF,70,53,38
Ghana,CAF,65,51,74
Togo,CAF,40,48,120
Benin,CAF,45,50,94
Nigeria,CAF,69,52,45
Cameroon,CAF,66,53,47
SaoTome&Principe,CAF,13,13,196
EquatorialGuinea,CAF,44,48,87
Gabon,CAF,55,51,75
Congo,CAF,41,48,130
DRCongo,CAF,64,49,57
Rwanda,CAF,40,48,126
Burundi,CAF,39,46,133
Uganda,CAF,47,50,86
Kenya,CAF,40,49,114
Somalia,CAF,28,28,200
Tanzania,CAF,42,51,106
Seychelles,CAF,13,12,201
Mozambique,CAF,46,51,90
Malawi,CAF,40,49,132
Zambia,CAF,44,51,88
Zimbabwe,CAF,42,50,118
Angola,CAF,48,52,81
Namibia,CAF,42,48,111
Botswana,CAF,40,50,134
SouthAfrica,CAF,64,49,56
Lesotho,CAF,37,47,141
Eswatini,CAF,32,45,160
Comoros,CAF,42,47,109
Madagascar,CAF,43,49,116
Mauritius,CAF,27,30,176
Japan,AFC,73,23,17
Iran,AFC,69,31,22
