Team,Confederation,Ranking,Rating,Home
Afghanistan,AFC,156,19,15
Albania,UEFA,65,56,40
Algeria,CAF,33,67,49
AmericanSamoa,OFC,185,2,3
Andorra,UEFA,154,21,11
Angola,CAF,113,47,55
Anguilla,CONCACAF,209,4,4
Antigua&Barbuda,CONCACAF,131,15,17
Argentina,CONMEBOL,1,91,42
Armenia,UEFA,89,42,38
Aruba,CONCACAF,202,18,15
Australia,AFC,27,66,27
Austria,UEFA,29,69,23
Azerbaijan,UEFA,120,39,39
Bahamas,CONCACAF,199,3,4
Bahrain,AFC,85,43,21
Bangladesh,AFC,191,19,14
Barbados,CONCACAF,166,18,16
Belarus,UEFA,97,41,31
Belgium,UEFA,5,80,21
Belize,CONCACAF,176,9,8
Benin,CAF,92,44,51
Bermuda,CONCACAF,172,24,20
Bhutan,AFC,183,6,5
Bolivia,CONMEBOL,82,49,148
Bosnia,UEFA,61,59,40
Botswana,CAF,146,40,49
Brazil,CONMEBOL,3,88,47
BritishVirginIslands,CONCACAF,208,4,5
Brunei,AFC,190,9,7
Bulgaria,UEFA,76,43,38
BurkinaFaso,CAF,55,57,53
Burundi,CAF,139,39,46
Cambodia,AFC,175,11,10
Cameroon,CAF,43,65,55
Canada,CONCACAF,45,61,37
CapeVerde,CAF,66,49,53
CaymanIslands,CONCACAF,196,7,5
CentralAfricanRepublic,CAF,124,34,45
Chad,CAF,180,32,45
Chile,CONMEBOL,32,54,46
China,AFC,78,44,22
ChineseTaipei,AFC,152,13,9
Colombia,CONMEBOL,17,75,54
Comoros,CAF,129,43,44
Congo,CAF,105,40,45
CookIslands,OFC,188,2,5
CostaRica,CONCACAF,42,52,48
Croatia,UEFA,6,76,36
Cuba,CONCACAF,165,32,30
Curacao,CONCACAF,87,44,49
Cyprus,UEFA,117,42,37
CzechRepublic,UEFA,37,63,30
Denmark,UEFA,19,71,26
Djibouti,CAF,192,19,25
Dominica,CONCACAF,184,17,15
DominicanRepublic,CONCACAF,150,31,29
DRCongo,CAF,69,61,56
Ecuador,CONMEBOL,40,74,54
Egypt,CAF,34,67,51
ElSalvador,CONCACAF,75,40,44
England,UEFA,4,89,19
EquatorialGuinea,CAF,90,44,41
Eritrea,CAF,197,25,25
Estonia,UEFA,109,40,27
Eswatini,CAF,145,33,42
Ethiopia,CAF,142,35,47
FaroeIslands,UEFA,128,33,36
Fiji,OFC,169,13,21
Finland,UEFA,54,51,26
France,UEFA,2,90,21
Gabon,CAF,84,55,52
Gambia,CAF,118,42,46
Georgia,UEFA,77,46,39
Germany,UEFA,15,87,22
Ghana,CAF,59,64,51
Gibraltar,UEFA,201,16,10
Greece,UEFA,49,56,40
Grenada,CONCACAF,173,22,20
Guam,AFC,205,7,5
Guatemala,CONCACAF,115,43,45
Guinea,CAF,79,52,49
GuineaBissau,CAF,110,41,46
Guyana,CONCACAF,168,32,36
Haiti,CONCACAF,86,45,30
Honduras,CONCACAF,80,49,48
HongKong,AFC,148,23,11
Hungary,UEFA,36,62,35
Iceland,UEFA,67,51,32
India,AFC,99,23,21
Indonesia,AFC,149,41,38
Iraq,AFC,70,53,42
Iran,AFC,22,69,39
Ireland,UEFA,52,57,25
Italy,UEFA,8,82,23
IvoryCoast,CAF,51,70,52
Jamaica,CONCACAF,63,50,49
Japan,AFC,20,72,23
Jordan,AFC,81,54,39
Kazakhstan,UEFA,103,41,42
Kenya,CAF,104,40,48
