Team,CONCACAF,CONMEBOL,UEFA,CAF,AFC,OFC,Total
Afghanistan,0,0,0,0,0,5,5
Albania,63,20,7,16,66,61,233
Algeria,88,78,40,86,95,92,479
AmericanSamoa,0,0,0,0,0,0,0
Andorra,1,0,0,0,0,4,5
Angola,27,5,1,2,7,48,90
Anguilla,0,0,0,0,0,0,0
Antigua&Barbuda,0,0,0,0,0,2,2
Argentina,98,100,96,99,100,94,587
Armenia,12,0,0,2,10,34,58
Aruba,0,0,0,0,0,2,2
Australia,91,66,34,70,98,86,445
Austria,86,74,50,78,98,85,471
Azerbaijan,10,1,0,0,1,30,42
Bahamas,0,0,0,0,0,0,0
Bahrain,16,0,0,3,13,32,64
Bangladesh,0,0,0,0,0,4,4
Barbados,0,0,0,0,0,3,3
Belarus,16,1,0,0,7,28,52
Belgium,95,100,94,89,100,96,574
Belize,0,0,0,0,0,0,0
Benin,20,4,2,3,8,33,70
Bermuda,0,0,0,0,0,2,2
Bhutan,0,0,0,0,0,0,0
Bolivia,55,11,4,8,35,42,155
Bosnia,73,39,10,25,68,68,283
Botswana,10,0,0,0,3,34,47
Brazil,99,100,99,97,100,96,591
BritishVirginIslands,0,0,0,0,0,0,0
Brunei,0,0,0,0,0,1,1
Bulgaria,26,0,1,1,12,32,72
BurkinaFaso,70,24,7,25,73,63,262
Burundi,8,1,1,0,2,31,43
Cambodia,0,0,0,0,0,1,1
Cameroon,87,76,38,77,92,75,445
Canada,100,141,137,162,187,177,904
CapeVerde,43,5,5,6,32,48,139
CaymanIslands,0,0,0,0,0,0,0
CentralAfricanRepublic,5,0,0,0,2,23,30
Chad,1,0,0,0,1,10,12
Chile,64,14,7,43,62,66,256
China,13,1,0,3,12,29,58
ChineseTaipei,0,0,0,0,0,0,0
Colombia,96,98,80,88,100,95,557
Comoros,13,1,1,1,3,34,53
Congo,13,0,0,0,3,22,38
CookIslands,0,0,0,0,0,0,0
CostaRica,65,14,11,24,47,51,212
Croatia,94,92,92,87,100,86,551
Cuba,0,0,0,0,0,13,13
Curacao,16,0,1,3,10,37,67
Cyprus,9,0,0,0,5,32,46
CzechRepublic,82,56,36,62,94,71,401
Denmark,93,89,74,80,97,90,523
Djibouti,0,0,0,0,0,3,3
Dominica,0,0,0,0,0,2,2
DominicanRepublic,2,0,0,0,0,12,14
DRCongo,80,45,18,39,82,67,331
Ecuador,96,99,54,83,98,93,523
Egypt,92,83,47,88,95,85,490
ElSalvador,13,0,1,1,9,34,58
England,99,99,99,98,100,98,593
EquatorialGuinea,24,0,0,3,5,40,72
Eritrea,1,0,0,0,0,12,13
Estonia,9,0,1,0,4,28,42
Eswatini,2,0,0,0,0,16,18
Ethiopia,2,0,0,0,2,23,27
FaroeIslands,1,0,0,0,1,19,21
Fiji,0,0,0,0,0,3,3
Finland,52,5,4,16,45,59,181
France,99,100,98,99,100,95,591
Gabon,66,21,4,14,58,59,222
Gambia,16,1,1,1,3,38,60
Georgia,33,5,2,4,20,50,114
Germany,98,100,97,98,100,97,590
Ghana,89,54,26,50,92,80,391
Gibraltar,0,0,0,0,0,2,2
Greece,73,26,11,44,60,60,274
Grenada,0,0,0,0,0,5,5
Guam,0,0,0,0,0,0,0
Guatemala,21,2,1,1,8,26,59
Guinea,46,8,3,22,41,56,176
GuineaBissau,8,0,1,1,3,30,43
Guyana,1,0,0,0,0,17,18
Haiti,33,0,1,4,11,41,90
Honduras,36,5,3,2,28,34,108
HongKong,0,0,0,0,0,6,6
Hungary,82,43,36,62,87,74,384
Iceland,50,10,5,14,48,58,185
India,0,0,0,0,0,9,9
Indonesia,13,1,0,3,6,31,54
Iraq,53,9,7,13,55,60,197
Iran,93,83,78,83,98,90,525
Ireland,72,22,12,24,69,65,264
Italy,99,100,95,95,100,95,584
IvoryCoast,84,89,39,80,97,90,479
Jamaica,60,7,3,8,42,46,166
Japan,93,89,77,88,99,91,537
Jordan,59,13,4,9,54,56,195
Kazakhstan,17,1,0,1,5,34,58
Kenya,11,0,1,1,5,29,47
Kosovo,41,3,2,3,19,48,116
Kuwait,6,0,0,0,5,21,32
Kyrgyzstan,4,2,0,0,5,21,32
Laos,0,0,0,0,0,0,0
Latvia,9,0,0,0,2,24,35
Lebanon,6,0,0,1,0,26,33
Lesotho,6,0,0,1,3,15,25
Liberia,5,1,0,0,0,25,31
Libya,14,2,0,1,10,25,52
Liechtenstein,0,0,0,0,0,3,3
Lithuania,14,1,1,0,2,33,51
Luxembourg,8,0,0,1,1,33,43
Macau,0,0,0,0,0,0,0
Madagascar,23,3,0,1,5,40,72
Malawi,9,2,0,1,1,29,42
Malaysia,2,0,0,0,0,24,26
Maldives,0,0,0,0,0,1,1
Mali,82,40,14,57,84,76,353
Malta,0,0,0,0,0,3,3
Mauritania,13,2,1,1,7,31,55
Mauritius,0,0,0,1,0,5,6
Mexico,100,176,171,171,198,191,1007
Moldova,3,0,0,0,0,15,18
Mongolia,0,0,0,0,0,1,1
Montenegro,20,1,0,3,15,44,83
Montserrat,0,0,0,0,0,0,0
Morocco,97,94,85,92,98,93,559
Mozambique,27,1,3,6,14,47,98
Myanmar,0,0,0,0,0,5,5
Namibia,18,1,0,0,3,35,57
Nepal,0,0,0,0,0,0,0
Netherlands,99,100,95,95,100,98,587
NewCaledonia,0,0,0,0,0,7,7
NewZealand,41,13,5,14,35,90,198
Nicaragua,4,0,0,2,1,18,25
Niger,12,0,1,0,0,25,38
Nigeria,92,83,35,80,98,79,467
NorthKorea,8,1,0,1,3,20,33
NorthMacedonia,40,7,4,6,31,38,126
NorthernIreland,42,6,4,8,28,51,139
Norway,93,78,55,84,97,89,496
Oman,35,3,2,2,24,35,101
Pakistan,0,0,0,0,0,1,1
Palestine,19,1,0,1,12,45,78
Panama,66,11,6,10,57,62,212
PapuaNewGuinea,0,0,0,0,0,1,1
Paraguay,90,70,25,68,89,78,420
Peru,66,27,27,49,70,62,301
Philippines,2,2,0,1,1,20,26
Poland,95,81,53,80,91,89,489
Portugal,100,100,96,98,100,97,591
PuertoRico,0,0,0,0,0,9,9
Qatar,69,18,6,13,71,61,238
Romania,74,36,25,50,83,76,344
Russia,89,76,40,65,95,83,448
Rwanda,6,0,1,1,0,31,39
Samoa,0,0,0,0,0,0,0
SaoTome&Principe,0,0,0,0,0,2,2
SanMarino,0,0,0,0,0,0,0
SaudiArabia,67,36,9,27,75,67,281
Scotland,86,49,30,57,90,81,393
Senegal,95,93,79,95,99,90,551
Serbia,92,68,56,82,97,85,480
